Date;Close
17.04.1970;85.669998
20.04.1970;85.830002
21.04.1970;85.379997
22.04.1970;84.269997
23.04.1970;83.040001
24.04.1970;82.769997
27.04.1970;81.459999
28.04.1970;80.269997
29.04.1970;81.809998
30.04.1970;81.519997
1.05.1970;81.440002
4.05.1970;79.370003
5.05.1970;78.599998
6.05.1970;79.470001
7.05.1970;79.830002
8.05.1970;79.440002
11.05.1970;78.599998
12.05.1970;77.849998
13.05.1970;76.529999
14.05.1970;75.440002
15.05.1970;76.900002
18.05.1970;76.959999
19.05.1970;75.459999
20.05.1970;73.519997
21.05.1970;72.160004
22.05.1970;72.250000
25.05.1970;70.250000
26.05.1970;69.290001
27.05.1970;72.769997
28.05.1970;74.610001
29.05.1970;76.550003
1.06.1970;77.839996
2.06.1970;77.839996
3.06.1970;78.519997
4.06.1970;77.360001
5.06.1970;76.169998
8.06.1970;76.290001
9.06.1970;76.250000
10.06.1970;75.480003
11.06.1970;74.449997
12.06.1970;73.879997
15.06.1970;74.580002
16.06.1970;76.150002
17.06.1970;76.000000
18.06.1970;76.510002
19.06.1970;77.050003
22.06.1970;76.639999
23.06.1970;74.760002
24.06.1970;73.970001
25.06.1970;74.019997
26.06.1970;73.470001
29.06.1970;72.889999
30.06.1970;72.720001
1.07.1970;72.940002
2.07.1970;72.919998
6.07.1970;71.779999
7.07.1970;71.230003
8.07.1970;73.000000
9.07.1970;74.059998
10.07.1970;74.449997
13.07.1970;74.550003
14.07.1970;74.419998
15.07.1970;75.230003
16.07.1970;76.339996
17.07.1970;77.690002
20.07.1970;77.790001
21.07.1970;76.980003
22.07.1970;77.029999
23.07.1970;78.000000
24.07.1970;77.820000
27.07.1970;77.650002
28.07.1970;77.769997
29.07.1970;78.040001
30.07.1970;78.070000
31.07.1970;78.050003
3.08.1970;77.019997
4.08.1970;77.190002
5.08.1970;77.180000
6.08.1970;77.080002
7.08.1970;77.279999
10.08.1970;76.199997
11.08.1970;75.820000
12.08.1970;75.419998
13.08.1970;74.760002
14.08.1970;75.180000
17.08.1970;75.330002
18.08.1970;76.199997
19.08.1970;76.959999
20.08.1970;77.839996
21.08.1970;79.239998
24.08.1970;80.989998
25.08.1970;81.120003
26.08.1970;81.209999
27.08.1970;81.080002
28.08.1970;81.860001
31.08.1970;81.519997
1.09.1970;80.949997
2.09.1970;80.959999
3.09.1970;82.089996
4.09.1970;82.830002
8.09.1970;83.040001
9.09.1970;82.790001
10.09.1970;82.300003
11.09.1970;82.519997
14.09.1970;82.070000
15.09.1970;81.360001
16.09.1970;81.790001
17.09.1970;82.290001
18.09.1970;82.620003
21.09.1970;81.910004
22.09.1970;81.860001
23.09.1970;81.910004
24.09.1970;81.660004
25.09.1970;82.830002
28.09.1970;83.910004
29.09.1970;83.860001
30.09.1970;84.300003
1.10.1970;84.320000
2.10.1970;85.160004
5.10.1970;86.470001
6.10.1970;86.849998
7.10.1970;86.889999
8.10.1970;85.949997
9.10.1970;85.080002
12.10.1970;84.169998
13.10.1970;84.059998
14.10.1970;84.190002
15.10.1970;84.650002
16.10.1970;84.279999
19.10.1970;83.150002
20.10.1970;83.639999
21.10.1970;83.660004
22.10.1970;83.379997
23.10.1970;83.769997
26.10.1970;83.309998
27.10.1970;83.120003
28.10.1970;83.430000
29.10.1970;83.360001
30.10.1970;83.250000
2.11.1970;83.510002
3.11.1970;84.220001
4.11.1970;84.389999
5.11.1970;84.099998
6.11.1970;84.220001
9.11.1970;84.669998
10.11.1970;84.790001
11.11.1970;85.029999
12.11.1970;84.150002
13.11.1970;83.370003
16.11.1970;83.239998
17.11.1970;83.470001
18.11.1970;82.790001
19.11.1970;82.910004
20.11.1970;83.720001
23.11.1970;84.239998
24.11.1970;84.779999
25.11.1970;85.089996
27.11.1970;85.930000
